,As_of_Year,Respondent_Name_CR,State,Count,Sum,Median,Percentage,colors
206,2013,JPMORGAN CHASE BANK NA,DC,661,241215,226.0,0.0537053137569006,#5E00A5
207,2013,JPMORGAN CHASE BANK NA,DE,1240,206004,147.0,0.0954463256889724,#5E00A5
208,2013,JPMORGAN CHASE BANK NA,MD,6295,1401344,178.0,0.05506841209150084,#5E00A5
209,2013,JPMORGAN CHASE BANK NA,VA,3782,624112,142.5,0.019492167740979588,#5E00A5
210,2013,JPMORGAN CHASE BANK NA,WV,1671,201274,102.0,0.11991923322805531,#5E00A5
211,2013,MCLEAN MORTGAGE CORPORATION,DC,147,63111,400.0,0.014051348616428306,#E46A5D
212,2013,MCLEAN MORTGAGE CORPORATION,MD,334,121413,339.0,0.004771149066371563,#E46A5D
213,2013,MCLEAN MORTGAGE CORPORATION,VA,2977,1083681,349.0,0.033845354407081585,#E46A5D
214,2013,MCLEAN MORTGAGE CORPORATION,WV,5,1315,259.0,0.0007834782023256493,#E46A5D
215,2013,MONARCH BANK,DC,144,57067,343.0,0.012705682234376165,#B42D8D
216,2013,MONARCH BANK,DE,24,6655,279.0,0.003083412445681207,#B42D8D
217,2013,MONARCH BANK,MD,2235,631557,258.0,0.024818203906586817,#B42D8D
218,2013,MONARCH BANK,VA,2255,557626,230.0,0.017415687454706022,#B42D8D
219,2013,MONARCH BANK,WV,10,2361,226.0,0.0014066859587002721,#B42D8D
220,2013,MOVEMENT MORTGAGE LLC,DC,27,11854,379.0,0.0026392338340248318,#EFF821
221,2013,MOVEMENT MORTGAGE LLC,DE,3,649,198.0,0.0003006964203226301,#EFF821
222,2013,MOVEMENT MORTGAGE LLC,MD,255,66199,247.0,0.0026014125097372693,#EFF821
223,2013,MOVEMENT MORTGAGE LLC,VA,3339,739117,201.0,0.02308398579775683,#EFF821
224,2013,MOVEMENT MORTGAGE LLC,WV,4,742,182.0,0.00044208427842253365,#EFF821
225,2013,NFCU,DC,234,87179,332.5,0.019409968484600203,#8607A6
226,2013,NFCU,DE,119,27350,205.0,0.012671875340252594,#8607A6
227,2013,NFCU,MD,3422,1021924,274.0,0.04015839933534871,#8607A6
228,2013,NFCU,VA,4416,985496,208.0,0.030778855942626356,#8607A6
229,2013,NFCU,WV,159,32540,185.0,0.019387361751845345,#8607A6
230,2013,NVR MORTGAGE FINANCE INC,DC,52,19874,393.5,0.0044248467367478915,#DD5F65
231,2013,NVR MORTGAGE FINANCE INC,DE,292,76981,264.5,0.035667043348006765,#DD5F65
232,2013,NVR MORTGAGE FINANCE INC,MD,1673,590656,345.0,0.023210923236776638,#DD5F65
233,2013,NVR MORTGAGE FINANCE INC,VA,1615,564345,340.0,0.017625534205051537,#DD5F65
234,2013,NVR MORTGAGE FINANCE INC,WV,37,5764,155.0,0.003434196470117903,#DD5F65
235,2013,PNC BANK NA,DC,602,210155,279.0,0.04678996004635469,#9E199C
236,2013,PNC BANK NA,DE,680,118350,155.0,0.054834239360837096,#9E199C
237,2013,PNC BANK NA,MD,4619,1022138,192.0,0.04016680886233679,#9E199C
238,2013,PNC BANK NA,VA,2270,444649,179.0,0.013887207574696261,#9E199C
239,2013,PNC BANK NA,WV,199,31149,150.0,0.018558602680031674,#9E199C
240,2013,PRESIDENTIAL BANK FSB,DC,71,31168,412.0,0.006939399370582584,#F9D924
241,2013,PRESIDENTIAL BANK FSB,DE,14,2996,211.5,0.0013881147539084742,#F9D924
242,2013,PRESIDENTIAL BANK FSB,MD,1913,545476,269.0,0.02143549132405998,#F9D924
243,2013,PRESIDENTIAL BANK FSB,VA,812,142632,161.5,0.004454660171942537,#F9D924
244,2013,PRESIDENTIAL BANK FSB,WV,19,3799,170.0,0.0022634476734867998,#F9D924
245,2013,PRIMELENDING,DC,41,14516,354.0,0.0032319148249286703,#F8963F
246,2013,PRIMELENDING,DE,187,43041,216.0,0.01994187153637338,#F8963F
247,2013,PRIMELENDING,MD,1333,353251,239.0,0.01388165335544646,#F8963F
248,2013,PRIMELENDING,VA,1716,420820,216.0,0.01314298399767835,#F8963F
249,2013,PRIMELENDING,WV,432,68883,150.0,0.04104055438083475,#F8963F
250,2013,PROSPERITY MORTGAGE COMPANY,DC,282,114820,399.5,0.02556409893898525,#BD3784
251,2013,PROSPERITY MORTGAGE COMPANY,DE,74,14240,195.0,0.006597714985199157,#BD3784
252,2013,PROSPERITY MORTGAGE COMPANY,MD,1462,406837,252.0,0.015987414632003226,#BD3784
253,2013,PROSPERITY MORTGAGE COMPANY,VA,2116,581819,252.0,0.018171279422425787,#BD3784
254,2013,PROSPERITY MORTGAGE COMPANY,WV,17,3248,154.0,0.001935161369698638,#BD3784
255,2013,QUICKEN LOANS,DC,715,244202,304.0,0.05437035437291479,#21058F
256,2013,QUICKEN LOANS,DE,1235,250456,191.0,0.11604194552900562,#21058F
257,2013,QUICKEN LOANS,MD,9008,2281515,232.0,0.08965636432805973,#21058F
258,2013,QUICKEN LOANS,VA,11999,3002264,223.0,0.09376623665416518,#21058F
259,2013,QUICKEN LOANS,WV,1798,267702,133.0,0.15949709636424408,#21058F
260,2013,SUNTRUST MORTGAGE INC,DC,750,363069,401.0,0.08083549762827413,#330497
261,2013,SUNTRUST MORTGAGE INC,DE,200,43315,191.5,0.020068821951116676,#330497
262,2013,SUNTRUST MORTGAGE INC,MD,5554,1961918,280.0,0.07709720733362625,#330497
263,2013,SUNTRUST MORTGAGE INC,VA,10665,2968064,218.0,0.09269810763767215,#330497
264,2013,SUNTRUST MORTGAGE INC,WV,324,46683,121.5,0.027813774083017707,#330497
265,2013,TOWNEBANK,VA,4009,896062,205.0,0.02798566733265448,#FCCB25
266,2013,TOWNEBANK,WV,1,202,202.0,0.00012035178469184878,#FCCB25
267,2013,USAA FEDERAL SAVINGS BANK,DC,173,57103,308.0,0.01271369745438839,#C6417C
268,2013,USAA FEDERAL SAVINGS BANK,DE,301,67345,221.0,0.031202465988640255,#C6417C
269,2013,USAA FEDERAL SAVINGS BANK,MD,1739,511431,285.0,0.020097629892708975,#C6417C
270,2013,USAA FEDERAL SAVINGS BANK,VA,2121,499867,227.0,0.015611767458693701,#C6417C
271,2013,USAA FEDERAL SAVINGS BANK,WV,382,68576,164.0,0.04085764350013971,#C6417C
272,2013,WELLS FARGO BANK NA,DC,2120,923562,354.0,0.20562646180358035,#0C0786
273,2013,WELLS FARGO BANK NA,DE,3122,650580,190.0,0.30142847015947105,#0C0786
274,2013,WELLS FARGO BANK NA,MD,18314,4718779,221.0,0.1854331745386716,#0C0786
275,2013,WELLS FARGO BANK NA,VA,24439,6309730,216.0,0.19706449412972532,#0C0786
276,2013,WELLS FARGO BANK NA,WV,1327,223326,156.0,0.13305783499055357,#0C0786
277,2014,1ST MARINER BANK,DC,133,58124,417.0,0.019551286471555206,#EA7455
278,2014,1ST MARINER BANK,DE,53,10031,160.0,0.009537963586297129,#EA7455
279,2014,1ST MARINER BANK,MD,1467,422301,265.0,0.02947677761719033,#EA7455
280,2014,1ST MARINER BANK,VA,337,127247,365.0,0.00549238101387816,#EA7455
281,2014,1ST MARINER BANK,WV,13,2812,208.0,0.0026620065773903627,#EA7455
282,2014,ATLANTIC BAY MORTGAGE GRP LLC,MD,4,1074,275.5,7.496562679430646e-05,#FBA337
283,2014,ATLANTIC BAY MORTGAGE GRP LLC,VA,4199,828687,177.0,0.03576873910777976,#FBA337
284,2014,ATLANTIC BAY MORTGAGE GRP LLC,WV,3,314,125.0,0.0002972510900784402,#FBA337
285,2014,ATLANTIC COAST MORTGAGE LLC,DC,127,54106,392.0,0.018199743751805896,#F5E926
286,2014,ATLANTIC COAST MORTGAGE LLC,MD,133,52816,392.0,0.003686577788424665,#F5E926
287,2014,ATLANTIC COAST MORTGAGE LLC,VA,1449,546633,361.0,0.023594400738400596,#F5E926
288,2014,BANK OF AMERICA NA,DC,461,195617,301.0,0.06580008268023906,#5101A2
289,2014,BANK OF AMERICA NA,DE,383,79449,181.0,0.07554398055704521,#5101A2
290,2014,BANK OF AMERICA NA,MD,3001,792190,210.0,0.0552951768065006,#5101A2
291,2014,BANK OF AMERICA NA,VA,4387,1163251,210.0,0.05020957434575891,#5101A2
292,2014,BANK OF AMERICA NA,WV,197,25940,121.0,0.024556348014760317,#5101A2
293,2014,BRANCH BANKING AND TRUST CO,DC,230,89541,305.0,0.030119085781252577,#6C00A8
294,2014,BRANCH BANKING AND TRUST CO,DE,47,13890,212.0,0.013207288826006093,#6C00A8
295,2014,BRANCH BANKING AND TRUST CO,MD,1614,451284,223.0,0.03149980253467579,#6C00A8
296,2014,BRANCH BANKING AND TRUST CO,VA,3995,852859,153.0,0.03681207870610006,#6C00A8
297,2014,BRANCH BANKING AND TRUST CO,WV,1346,182623,115.0,0.17288180198533434,#6C00A8
298,2014,CITIBANK NA,DC,310,173783,400.0,0.0584557363031842,#A92395
299,2014,CITIBANK NA,DE,235,42059,169.0,0.03999174663304465,#A92395
300,2014,CITIBANK NA,MD,1296,369318,219.0,0.025778543162401933,#A92395
301,2014,CITIBANK NA,VA,1242,344323,185.0,0.014862064393200388,#A92395
302,2014,CITIBANK NA,WV,151,17686,103.0,0.016742620315692017,#A92395
303,2014,EMBRACE HOME LOANS INC,DC,66,27302,398.0,0.00918362850537472,#CE4A75
304,2014,EMBRACE HOME LOANS INC,DE,191,41711,204.0,0.03966085127584882,#CE4A75
305,2014,EMBRACE HOME LOANS INC,MD,1297,378817,265.0,0.026441577137186957,#CE4A75
306,2014,EMBRACE HOME LOANS INC,VA,1343,313100,185.0,0.013514381442747192,#CE4A75
307,2014,EMBRACE HOME LOANS INC,WV,128,16749,117.0,0.01585560034306941,#CE4A75
308,2014,FIFTH THIRD MORTGAGE COMPANY,DE,10,2385,246.5,0.002267774215264545,#D6556D
309,2014,FIFTH THIRD MORTGAGE COMPANY,MD,71,25006,319.0,0.001745428737074886,#D6556D
310,2014,FIFTH THIRD MORTGAGE COMPANY,VA,222,72559,288.0,0.0031318748102979674,#D6556D
311,2014,FIFTH THIRD MORTGAGE COMPANY,WV,220,38495,145.5,0.03644165832028521,#D6556D
312,2014,FIRST HERITAGE MORTGAGE,DC,29,14699,417.0,0.004944332114881804,#FDBC2A
313,2014,FIRST HERITAGE MORTGAGE,DE,2,381,190.5,0.0003622733652057827,#FDBC2A
314,2014,FIRST HERITAGE MORTGAGE,MD,432,167374,356.0,0.011682771712355914,#FDBC2A
315,2014,FIRST HERITAGE MORTGAGE,VA,1189,462847,362.0,0.0199779332725366,#FDBC2A
316,2014,FIRST HERITAGE MORTGAGE,WV,4,1103,262.5,0.001044165453364712,#FDBC2A
317,2014,FIRST HOME MORTGAGE,DC,618,241999,368.0,0.08140168905839049,#7901A8
318,2014,FIRST HOME MORTGAGE,DE,20,4394,224.0,0.0041780293089611785,#7901A8
319,2014,FIRST HOME MORTGAGE,MD,4084,1099139,250.0,0.0767203389842339,#7901A8
320,2014,FIRST HOME MORTGAGE,VA,1520,586358,372.0,0.025309056767826122,#7901A8
321,2014,FIRST HOME MORTGAGE,WV,83,19060,244.0,0.01804333049966583,#7901A8
322,2014,FIRST SAVINGS MORTGAGE CORPORA,DC,931,468597,458.0,0.15762291285374982,#9310A1
323,2014,FIRST SAVINGS MORTGAGE CORPORA,DE,3,990,376.0,0.0009413402402984905,#9310A1
324,2014,FIRST SAVINGS MORTGAGE CORPORA,MD,621,276648,385.0,0.019310140336490964,#9310A1
325,2014,FIRST SAVINGS MORTGAGE CORPORA,VA,1642,739527,410.0,0.031920312887928785,#9310A1
326,2014,FLAGSTAR BANK,DC,25,9813,376.0,0.0033008184940019826,#EF7E4E
327,2014,FLAGSTAR BANK,DE,76,18606,210.0,0.017691491425246175,#EF7E4E
328,2014,FLAGSTAR BANK,MD,1144,339344,279.5,0.02368634605110534,#EF7E4E
329,2014,FLAGSTAR BANK,VA,878,275963,290.0,0.011911431638725148,#EF7E4E
330,2014,FLAGSTAR BANK,WV,292,36804,115.0,0.03484085706766533,#EF7E4E
331,2014,FREEDOM MORTGAGE CORPORATION,DC,26,8831,294.0,0.0029705011841976467,#F48A47
332,2014,FREEDOM MORTGAGE CORPORATION,DE,125,27461,210.0,0.026111256907916006,#F48A47
333,2014,FREEDOM MORTGAGE CORPORATION,MD,1153,304681,243.0,0.021266854876458182,#F48A47
334,2014,FREEDOM MORTGAGE CORPORATION,VA,1949,497893,233.0,0.02149062893539996,#F48A47
335,2014,FREEDOM MORTGAGE CORPORATION,WV,141,21433,141.0,0.020289753546659902,#F48A47
336,2014,GEORGE MASON MORTGAGE LLC,DC,405,184292,417.0,0.06199066971330005,#42039D
337,2014,GEORGE MASON MORTGAGE LLC,DE,87,20598,249.0,0.019585582090574045,#42039D
338,2014,GEORGE MASON MORTGAGE LLC,MD,2168,690352,281.0,0.04818684393733991,#42039D
339,2014,GEORGE MASON MORTGAGE LLC,VA,4980,1851120,337.0,0.07990016536665022,#42039D
340,2014,GEORGE MASON MORTGAGE LLC,WV,42,9476,199.0,0.008970545635615603,#42039D
341,2014,INTERCOASTAL MORTGAGE COMPANY,DC,63,32598,494.0,0.01096505464867794,#FDB030
342,2014,INTERCOASTAL MORTGAGE COMPANY,DE,1,255,255.0,0.00024246642553142937,#FDB030
343,2014,INTERCOASTAL MORTGAGE COMPANY,MD,53,21181,393.0,0.0014784422170672302,#FDB030
344,2014,INTERCOASTAL MORTGAGE COMPANY,VA,1197,505638,399.0,0.0218249275118103,#FDB030
345,2014,INTERCOASTAL MORTGAGE COMPANY,WV,1,144,144.0,0.00013631897124616367,#FDB030
346,2014,JPMORGAN CHASE BANK NA,DC,336,233897,693.5,0.07867640306650175,#5E00A5
347,2014,JPMORGAN CHASE BANK NA,DE,268,62273,196.5,0.0592122028122302,#5E00A5
348,2014,JPMORGAN CHASE BANK NA,MD,1648,658968,277.0,0.04599622826572676,#5E00A5
349,2014,JPMORGAN CHASE BANK NA,VA,1713,779100,338.0,0.03362840811895349,#5E00A5
350,2014,JPMORGAN CHASE BANK NA,WV,570,75265,107.0,0.07125032896418408,#5E00A5
351,2014,MCLEAN MORTGAGE CORPORATION,DC,142,64886,458.0,0.021825833975523554,#E46A5D
352,2014,MCLEAN MORTGAGE CORPORATION,MD,474,162756,314.0,0.011360433477219873,#E46A5D
353,2014,MCLEAN MORTGAGE CORPORATION,VA,2359,882354,360.0,0.03808517573789127,#E46A5D
354,2014,MCLEAN MORTGAGE CORPORATION,WV,10,2535,213.0,0.0023997818896460063,#E46A5D
355,2014,MONARCH BANK,DC,129,49317,348.0,0.016588858215499415,#B42D8D
356,2014,MONARCH BANK,DE,19,5342,288.0,0.005079433902701551,#B42D8D
357,2014,MONARCH BANK,MD,1834,510818,254.0,0.0356552993927505,#B42D8D
358,2014,MONARCH BANK,VA,2552,691888,246.0,0.029864063710186746,#B42D8D
359,2014,MONARCH BANK,WV,12,2195,182.0,0.002077917651981453,#B42D8D
360,2014,MOVEMENT MORTGAGE LLC,DC,25,7688,263.0,0.002586027981441684,#EFF821
361,2014,MOVEMENT MORTGAGE LLC,DE,2,363,181.5,0.0003451580881094465,#EFF821
362,2014,MOVEMENT MORTGAGE LLC,MD,491,119060,225.0,0.008310435312970323,#EFF821
363,2014,MOVEMENT MORTGAGE LLC,VA,3309,713743,199.0,0.03080739429604187,#EFF821
364,2014,MOVEMENT MORTGAGE LLC,WV,2,427,213.5,0.00040422361612577697,#EFF821
365,2014,NFCU,DC,172,68586,362.0,0.02307041039739325,#8607A6
366,2014,NFCU,DE,86,20958,241.0,0.01992788763250077,#8607A6
367,2014,NFCU,MD,2480,813255,300.0,0.05676552217747086,#8607A6
368,2014,NFCU,VA,5009,1490544,258.0,0.06433657033918291,#8607A6
369,2014,NFCU,WV,116,20765,167.5,0.01965738498560131,#8607A6
370,2014,NVR MORTGAGE FINANCE INC,DC,63,26838,414.0,0.009027551894632143,#DD5F65
371,2014,NVR MORTGAGE FINANCE INC,DE,331,90170,283.0,0.08573802976536857,#DD5F65
372,2014,NVR MORTGAGE FINANCE INC,MD,1409,527157,367.0,0.03679576808566686,#DD5F65
373,2014,NVR MORTGAGE FINANCE INC,VA,1864,698750,362.5,0.030160249227465987,#DD5F65
374,2014,NVR MORTGAGE FINANCE INC,WV,59,13161,187.0,0.012458985976185832,#DD5F65
375,2014,PNC BANK NA,DC,349,132655,295.0,0.04462142844408774,#9E199C
376,2014,PNC BANK NA,DE,366,65223,158.0,0.062017206558574185,#9E199C
377,2014,PNC BANK NA,MD,2590,611816,198.0,0.04270499992810559,#9E199C
378,2014,PNC BANK NA,VA,2068,520591,205.0,0.02247034605449123,#9E199C
379,2014,PNC BANK NA,WV,219,38264,158.0,0.03622297997057782,#9E199C
380,2014,PRESIDENTIAL BANK FSB,DC,41,18454,404.0,0.006207408997076591,#F9D924
381,2014,PRESIDENTIAL BANK FSB,DE,11,3031,272.0,0.0028820224932774993,#F9D924
382,2014,PRESIDENTIAL BANK FSB,MD,1412,414338,272.0,0.028920957052792694,#F9D924
383,2014,PRESIDENTIAL BANK FSB,VA,1252,347597,243.5,0.015003380537702319,#F9D924
384,2014,PRESIDENTIAL BANK FSB,WV,18,3974,199.5,0.0037620249425851,#F9D924
385,2014,PRIMELENDING,DC,34,11176,281.5,0.003759293538058306,#F8963F
386,2014,PRIMELENDING,DE,225,49358,210.0,0.046931991495608984,#F8963F
387,2014,PRIMELENDING,MD,1068,279381,244.5,0.019500904822551336,#F8963F
388,2014,PRIMELENDING,VA,1165,295153,218.0,0.012739732436829007,#F8963F
389,2014,PRIMELENDING,WV,649,97688,143.0,0.09247727543816137,#F8963F
390,2014,PROSPERITY MORTGAGE COMPANY,DC,7,2515,297.0,0.0008459755948654832,#BD3784
391,2014,PROSPERITY MORTGAGE COMPANY,DE,3,547,195.0,0.0005201142539831053,#BD3784
392,2014,PROSPERITY MORTGAGE COMPANY,MD,51,11629,201.0,0.000811708821220661,#BD3784
393,2014,PROSPERITY MORTGAGE COMPANY,VA,54,14065,228.0,0.0006070896678129648,#BD3784
394,2014,PROSPERITY MORTGAGE COMPANY,WV,1,138,138.0,0.00013063901411090685,#BD3784
395,2014,QUICKEN LOANS,DC,504,174591,316.5,0.05872752488396007,#21058F
396,2014,QUICKEN LOANS,DE,1019,208676,192.0,0.1984193090752806,#21058F
397,2014,QUICKEN LOANS,MD,5770,1499142,239.0,0.10464070734047504,#21058F
398,2014,QUICKEN LOANS,VA,8967,2277100,225.0,0.09828680288495571,#21058F
399,2014,QUICKEN LOANS,WV,1875,257807,124.0,0.24405545152819247,#21058F
400,2014,SUNTRUST MORTGAGE INC,DC,295,149579,417.0,0.05031418827212092,#330497
401,2014,SUNTRUST MORTGAGE INC,DE,59,15221,213.0,0.014472868482407397,#330497
402,2014,SUNTRUST MORTGAGE INC,MD,2730,995363,292.5,0.069476732944936,#330497
403,2014,SUNTRUST MORTGAGE INC,VA,4488,1238779,215.0,0.053469600540609785,#330497
404,2014,SUNTRUST MORTGAGE INC,WV,191,22885,97.0,0.02166430317339205,#330497
405,2014,TOWNEBANK,DC,1,625,625.0,0.00021023250369420554,#FCCB25
406,2014,TOWNEBANK,VA,2416,563034,213.0,0.024302319518478836,#FCCB25
407,2014,USAA FEDERAL SAVINGS BANK,DC,67,23149,316.0,0.007786675564827463,#C6417C
408,2014,USAA FEDERAL SAVINGS BANK,DE,162,37450,221.5,0.035609284847655014,#C6417C
409,2014,USAA FEDERAL SAVINGS BANK,MD,1182,363345,300.0,0.025361625388805664,#C6417C
410,2014,USAA FEDERAL SAVINGS BANK,VA,2571,765780,277.0,0.03305347499593403,#C6417C
411,2014,USAA FEDERAL SAVINGS BANK,WV,285,51849,172.0,0.049083349584321805,#C6417C
412,2014,WELLS FARGO BANK NA,DC,876,449641,432.5,0.15124664510970603,#0C0786
413,2014,WELLS FARGO BANK NA,DE,1086,230870,196.5,0.2195224457350631,#0C0786
414,2014,WELLS FARGO BANK NA,MD,6885,1968013,235.0,0.13736808946400694,#0C0786
415,2014,WELLS FARGO BANK NA,VA,9370,2721429,228.0,0.11746544099442367,#0C0786
416,2014,WELLS FARGO BANK NA,WV,583,96754,148.0,0.09159309544410638,#0C0786
